order_id;token_id;image_url;coin;amount_sold;updated_timestamp
210680993;47416;https://assets.illuvium-game.io/illuvidex/land/land-47416.svg;ETH;0.848;2022-06-24T07:13:56.089505Z
210672680;67252;https://assets.illuvium-game.io/illuvidex/land/land-67252.svg;ETH;1.5855;2022-06-24T06:11:59.070338Z
210668787;19244;https://assets.illuvium-game.io/illuvidex/land/land-19244.svg;ETH;0.52395;2022-06-24T05:42:28.032303Z
210667488;6318;https://assets.illuvium-game.io/illuvidex/land/land-6318.svg;ETH;0.53;2022-06-24T05:32:10.575388Z
210667413;98334;https://assets.illuvium-game.io/illuvidex/land/land-98334.svg;ETH;0.53;2022-06-24T05:31:34.98951Z
210667370;90945;https://assets.illuvium-game.io/illuvidex/land/land-90945.svg;ETH;0.53;2022-06-24T05:31:12.443498Z
210667349;90997;https://assets.illuvium-game.io/illuvidex/land/land-90997.svg;ETH;0.53;2022-06-24T05:30:59.215029Z
210667169;5796;https://assets.illuvium-game.io/illuvidex/land/land-5796.svg;ETH;0.53848;2022-06-24T05:29:31.296001Z
210667135;5416;https://assets.illuvium-game.io/illuvidex/land/land-5416.svg;ETH;0.53848;2022-06-24T05:29:18.719831Z
210667099;5380;https://assets.illuvium-game.io/illuvidex/land/land-5380.svg;ETH;0.53848;2022-06-24T05:29:04.800044Z
210667028;5252;https://assets.illuvium-game.io/illuvidex/land/land-5252.svg;ETH;0.53848;2022-06-24T05:28:50.683456Z
210664986;75272;https://assets.illuvium-game.io/illuvidex/land/land-75272.svg;ETH;0.6825;2022-06-24T05:13:14.479335Z
210664864;90296;https://assets.illuvium-game.io/illuvidex/land/land-90296.svg;ETH;0.6825;2022-06-24T05:12:05.987976Z
210664826;24971;https://assets.illuvium-game.io/illuvidex/land/land-24971.svg;ETH;0.6825;2022-06-24T05:11:32.829418Z
210653910;24326;https://assets.illuvium-game.io/illuvidex/land/land-24326.svg;ETH;2.12;2022-06-24T03:51:14.875087Z
210643165;1480;https://assets.illuvium-game.io/illuvidex/land/land-1480.svg;ETH;0.552405;2022-06-24T02:45:10.731472Z
210641795;28977;https://assets.illuvium-game.io/illuvidex/land/land-28977.svg;ETH;1.3755;2022-06-24T02:37:28.332055Z
210635984;7645;https://assets.illuvium-game.io/illuvidex/land/land-7645.svg;ETH;2.1;2022-06-24T01:55:01.847941Z
210635930;36576;https://assets.illuvium-game.io/illuvidex/land/land-36576.svg;ETH;2.1;2022-06-24T01:54:38.867318Z
210622637;10933;https://assets.illuvium-game.io/illuvidex/land/land-10933.svg;ETH;0.742;2022-06-24T00:11:07.842889Z
210622585;13947;https://assets.illuvium-game.io/illuvidex/land/land-13947.svg;ETH;0.7261;2022-06-24T00:10:45.860583Z
210622535;7313;https://assets.illuvium-game.io/illuvidex/land/land-7313.svg;ETH;0.7261;2022-06-24T00:10:25.211607Z
210622404;55155;https://assets.illuvium-game.io/illuvidex/land/land-55155.svg;ETH;0.5194;2022-06-24T00:09:00.370877Z
210622270;16510;https://assets.illuvium-game.io/illuvidex/land/land-16510.svg;ETH;0.7208;2022-06-24T00:07:57.532872Z
210622194;15022;https://assets.illuvium-game.io/illuvidex/land/land-15022.svg;ETH;0.689;2022-06-24T00:07:24.737215Z
210622015;84254;https://assets.illuvium-game.io/illuvidex/land/land-84254.svg;ETH;0.636;2022-06-24T00:06:08.125778Z
210621975;80364;https://assets.illuvium-game.io/illuvidex/land/land-80364.svg;ETH;0.636;2022-06-24T00:05:53.807606Z
210621886;54170;https://assets.illuvium-game.io/illuvidex/land/land-54170.svg;ETH;0.53;2022-06-24T00:05:13.748387Z
210621844;54079;https://assets.illuvium-game.io/illuvidex/land/land-54079.svg;ETH;0.53;2022-06-24T00:04:58.467128Z
210616466;68208;https://assets.illuvium-game.io/illuvidex/land/land-68208.svg;ETH;0.525;2022-06-23T23:25:27.829821Z
210612112;19090;https://assets.illuvium-game.io/illuvidex/land/land-19090.svg;ETH;1.47;2022-06-23T22:56:57.891562Z
210612007;22773;https://assets.illuvium-game.io/illuvidex/land/land-22773.svg;ETH;1.6275;2022-06-23T22:55:53.364782Z
210601055;96611;https://assets.illuvium-game.io/illuvidex/land/land-96611.svg;ETH;1.9425;2022-06-23T21:39:27.338356Z
210600978;56231;https://assets.illuvium-game.io/illuvidex/land/land-56231.svg;ETH;1.3125;2022-06-23T21:38:43.216174Z
210600849;23953;https://assets.illuvium-game.io/illuvidex/land/land-23953.svg;ETH;1.323;2022-06-23T21:37:50.795953Z
210591039;31827;https://assets.illuvium-game.io/illuvidex/land/land-31827.svg;ETH;0.53025;2022-06-23T20:32:58.151936Z
210587061;88439;https://assets.illuvium-game.io/illuvidex/land/land-88439.svg;ETH;1.802;2022-06-23T20:06:59.792712Z
210586988;62655;https://assets.illuvium-game.io/illuvidex/land/land-62655.svg;ETH;0.6996;2022-06-23T20:06:37.454736Z
210586770;80444;https://assets.illuvium-game.io/illuvidex/land/land-80444.svg;ETH;0.8692;2022-06-23T20:05:04.480594Z
210586692;64206;https://assets.illuvium-game.io/illuvidex/land/land-64206.svg;ETH;0.901;2022-06-23T20:04:36.815408Z
210586668;44496;https://assets.illuvium-game.io/illuvidex/land/land-44496.svg;ETH;1.05;2022-06-23T20:04:27.987529Z
210584687;10883;https://assets.illuvium-game.io/illuvidex/land/land-10883.svg;ETH;1.802;2022-06-23T19:50:23.259426Z
210584178;44547;https://assets.illuvium-game.io/illuvidex/land/land-44547.svg;ETH;0.5145;2022-06-23T19:46:21.017124Z
210577996;60028;https://assets.illuvium-game.io/illuvidex/land/land-60028.svg;ETH;1.1445;2022-06-23T19:01:47.425829Z
210577451;15862;https://assets.illuvium-game.io/illuvidex/land/land-15862.svg;ETH;1.1445;2022-06-23T18:57:12.322092Z
210569099;24840;https://assets.illuvium-game.io/illuvidex/land/land-24840.svg;ETH;10.5;2022-06-23T17:59:48.147895Z
210568672;16083;https://assets.illuvium-game.io/illuvidex/land/land-16083.svg;ETH;10.374;2022-06-23T17:56:51.210318Z
210568532;97748;https://assets.illuvium-game.io/illuvidex/land/land-97748.svg;ETH;11.5395;2022-06-23T17:56:02.708683Z
210558704;19804;https://assets.illuvium-game.io/illuvidex/land/land-19804.svg;ETH;0.9345;2022-06-23T16:51:19.276605Z
210558577;67500;https://assets.illuvium-game.io/illuvidex/land/land-67500.svg;ETH;1.26;2022-06-23T16:50:40.559371Z
210548985;53598;https://assets.illuvium-game.io/illuvidex/land/land-53598.svg;ETH;0.945;2022-06-23T15:42:53.135095Z
210548939;76375;https://assets.illuvium-game.io/illuvidex/land/land-76375.svg;ETH;0.945;2022-06-23T15:42:35.94875Z
210548861;14185;https://assets.illuvium-game.io/illuvidex/land/land-14185.svg;ETH;1.8375;2022-06-23T15:42:06.296955Z
210548754;58827;https://assets.illuvium-game.io/illuvidex/land/land-58827.svg;ETH;1.9425;2022-06-23T15:41:33.74105Z
210548361;37752;https://assets.illuvium-game.io/illuvidex/land/land-37752.svg;ETH;1.272;2022-06-23T15:38:49.831808Z
210543750;39301;https://assets.illuvium-game.io/illuvidex/land/land-39301.svg;ETH;0.945;2022-06-23T15:10:27.293578Z
210543715;30903;https://assets.illuvium-game.io/illuvidex/land/land-30903.svg;ETH;0.84;2022-06-23T15:10:15.272114Z
