order_id;token_id;image_url;type2;amount_sold;updated_timestamp
206724232;116169;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:lava:humility-is-delicious.jpg/v1/veefriends/specials/book/frames/marble.png;ETH;0.11395;2022-06-12T17:49:05.742091Z
207871454;15174;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:hologram:koala-2025.jpg/v1/veefriends/specials/book/frames/gold.png;ETH;3.06375;2022-06-12T18:12:10.174227Z
207925753;50871;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:diamond:humility-is-delicious.jpg/v1/veefriends/specials/book/frames/marble.png;ETH;0.1102305;2022-06-12T19:30:49.711805Z
207091209;35597;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:bubble:patience-helps-you-get-fed-instead-of-slaughtered.jpg/v1/veefriends/specials/book/frames/marble.png;ETH;0.11825;2022-06-13T02:10:16.662771Z
207937060;35739;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:lava:patience-helps-you-get-fed-instead-of-slaughtered.jpg/v1/veefriends/specials/book/frames/gold.png;ETH;0.1104025;2022-06-13T02:51:59.016795Z
207904755;84347;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:bubble:kindness-over-everything.jpg/v1/veefriends/specials/book/frames/silver.png;ETH;0.1118;2022-06-13T02:52:24.68701Z
207904834;84330;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:gold:kind-fucking-candor.jpg/v1/veefriends/specials/book/frames/silver.png;ETH;0.1118;2022-06-13T02:52:58.679719Z
207890833;42783;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:gold:self-awa.jpg/v1/veefriends/specials/book/frames/silver.png;ETH;0.112875;2022-06-13T02:53:16.952365Z
207973121;72358;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:bubble:curiosity-see-it-through.jpg/v1/veefriends/specials/book/frames/silver.png;ETH;0.117175;2022-06-13T02:53:38.016876Z
207973208;96492;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:lava:empathy-drink-it.jpg/v1/veefriends/specials/book/frames/silver.png;ETH;0.117175;2022-06-13T02:53:57.312388Z
208011590;118720;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:bubble:kind-fucking-candor.jpg/v1/veefriends/specials/book/frames/rainbow.png;ETH;0.145125;2022-06-13T04:28:46.319769Z
208011819;87308;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:diamond:self-awa.jpg/v1/veefriends/specials/book/frames/rainbow.png;ETH;0.1505;2022-06-13T04:32:19.54717Z
208019817;3586;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:lava:kind-fucking-candor.jpg/v1/veefriends/specials/book/frames/black.png;ETH;0.1075;2022-06-13T04:53:30.802315Z
208022321;23395;https://res.cloudinary.com/nenvy-llc/image/upload/f_auto,q_25,c_scale,w_194/f_auto,q_25,c_scale,w_194,u_veefriends:specials:book:diamond:curiosity-see-it-through.jpg/v1/veefriends/specials/book/frames/clear.png;ETH;0.0989;2022-06-13T05:20:09.824203Z
